cancer	sex	number	survival
Bladder	Men	6237	60.1
Bladder	Women	2335	47.3
Brain	Men	2242	10.4
Brain	Women	1627	12.8
Breast	Women	40797	86.0
Cervix	Women	2543	61.3
Colon	Men	11468	59.6
Colon	Women	10477	59.3
Colorectum	Men	18375	60.8
Colorectum	Women	14621	60.1
Hodgkin lymphoma	Men	888	80.9
Hodgkin lymphoma	Women	687	83.0
Kidney	Men	5892	60.2
Kidney	Women	3492	62.0
Larynx	Men	1513	67.1
Leukaemia	Men	4396	53.3
Leukaemia	Women	2955	52.4
Liver	Men	2683	13.0
Liver	Women	1490	10.2
Lung	Men	19385	13.1
Lung	Women	16427	17.5
Melanoma of skin	Men	5779	89.3
Melanoma of skin	Women	5847	93.9
Myeloma	Men	2530	51.9
Myeloma	Women	1920	50.8
Non-Hodgkin lymphoma	Men	5957	64.9
Non-Hodgkin lymphoma	Women	4921	69.4
Oesophagus	Men	4899	16.5
Oesophagus	Women	2316	17.4
Ovary	Women	5952	42.9
Pancreas	Men	3858	6.4
Pancreas	Women	3829	7.4
Prostate	Men	38704	88.3
Rectum	Men	7191	62.4
Rectum	Women	4299	61.6
Stomach	Men	3608	20.3
Stomach	Women	1891	23.5
Thyroid	Men	737	84.0
Thyroid	Women	1963	90.5
Uterus	Women	7326	76.7
Vulva7	Women	1033	67.9
