id	created_at	favourite_count	retweet_count	length
934792302341521408	1511706827	48996	11701	140
934781939088629761	1511704356	62684	16738	139
934563828834164739	1511652354	55814	16532	110
934551607596986368	1511649441	96674	28651	140
934542257222451206	1511647211	36433	8574	140
934539256940417024	1511646496	60412	13207	140
934507210385829888	1511638855	44967	10273	140
934189999045693441	1511563226	158590	42693	140
934131805409697792	1511549352	97021	20435	140
934080974773776384	1511537233	139087	33064	140
934031535757582336	1511525446	88556	15231	140
934029886842458112	1511525053	65886	15745	140
934026050388013056	1511524138	57530	14712	140
933921775984967681	1511499277	65939	14743	41
933918671503753216	1511498537	62858	11871	57
933917690552573952	1511498303	0	7304	141
933917415028772864	1511498237	0	6771	140
933837062293291008	1511479080	86841	18482	140
933831194558582784	1511477681	55159	10896	140
933720598383026176	1511451313	98597	24411	43
933692459351265280	1511444604	50854	8511	140
933662564587855877	1511437476	145650	36984	25
933659179348299776	1511436669	9542	4035	40
933658521828315136	1511436512	204528	44118	140
933517194142584833	1511402817	50353	10290	70
933448074348900354	1511386338	123134	25579	140
933446283632824321	1511385911	62557	11101	140
933443640881569792	1511385281	0	14468	107
933319309551685633	1511355638	50842	11241	139
933301876975718401	1511351482	77045	15763	140
933292289211772929	1511349196	0	9837	140
933291745722351617	1511349066	0	8449	140
933285973277868032	1511347690	118977	25277	140
933282274937733126	1511346808	159057	38933	140
933280234220134401	1511346322	124882	33068	139
933105158275325952	1511304580	74099	14773	140
933038654171344896	1511288724	63461	14546	140
932578255810498560	1511178957	79017	18068	131
932570628451954688	1511177138	156564	37577	140
932433668068528131	1511144484	73903	14844	140
932420488642617344	1511141342	150444	36623	140
932397369655808001	1511135830	65524	13537	140
932392209445457920	1511134600	135278	30327	140
932388590344196096	1511133737	70222	16515	140
932303108146892801	1511113356	274793	77321	140
931882145181773826	1511012991	0	9411	98
931882044044529665	1511012967	0	6907	100
931877599034388480	1511011907	191371	51366	140
931685146415255552	1510966023	128168	23538	140
931661592135168000	1510960407	54746	10908	127
931538234169069568	1510930996	75778	19805	140
931477193255014400	1510916443	99645	21492	138
931469365538672640	1510914577	74853	14610	108
931360196554821632	1510888549	85337	20315	140
931357870024687616	1510887994	87401	24193	144
931355543096233985	1510887439	63831	12899	139
931254609041068032	1510863375	67919	16204	140
931223807037263873	1510856031	65583	13784	140
931140567089721344	1510836185	91171	19657	93
931123400810037248	1510832092	93403	17225	123
931122234437046272	1510831814	88903	18149	139
930982399202217984	1510798475	70792	12124	59
930981685658902528	1510798305	101395	23798	120
930840960346611712	1510764753	73485	15528	130
930837616714571776	1510763956	85054	15582	130
930836707095863296	1510763739	67232	14261	138
930815626460921856	1510758713	164947	43795	121
930751807101562881	1510743498	47886	10458	34
930750650010480640	1510743222	32020	5146	48
